class;maximumDIT;minimumDIT;fileType;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/DeckDropDownAdapter;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/DeckDropDownViewHolder;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/mContextMenuListener/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/mContextMenuListener//onClick/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/mDeleteNoteHandler/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/mRenderQAHandler/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/mSearchCardsHandler/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/mSearchCardsHandler//onPreExecute/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/mSuspendCardHandler/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/MultiColumnListAdapter;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/mUpdateCardHandler/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/onCollectionLoaded/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/onCollectionLoaded/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/onCollectionLoaded/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/onCreateOptionsMenu/;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/onCreateOptionsMenu/;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/onCreateOptionsMenu/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/registerExternalStorageListener/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardBrowser.java/CardBrowser/showDialogFragment/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java;1;3;1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/createDialogIntentInformation/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/createDialogIntentInformation/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/createDialogIntentInformation/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/initFieldEditText/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/JSONNameComparator;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/CardEditor.java/CardEditor/mSaveFactHandler/;3;3;-1;;;;
